profile,routine,canonical_name,cases,mean_cycles,min_cycles,max_cycles,alias_of
v4_reu_16m,SMOD32_32,mod_s32_s32_s32,6633,552.840042,75,2384,SDIV32_32
v4_reu_16m,UMUL16_SHR8,mul_u16_u16_u24_shr8,5000,266.9656,255,290,
v4_reu_16m,SMUL16_SHR8,mul_s16_s16_s24_shr8,4361,293.4113735381793,271,334,
v4_reu_16m,UMUL32_SHR16,mul_u32_u32_u48_shr16,4361,779.876404494382,717,896,
v4_reu_16m,SMUL32_SHR16,mul_s32_s32_s48_shr16,4361,812.9988534739739,725,938,
v4_reu_16m,UDIV16_SHL8,div_u16_u16_u24_16_shl8,4753,764.628235,272,1849,
v4_reu_16m,SDIV16_SHL8,div_s16_s16_s24_16_shl8,4585,831.02988,266,1908,
v4_reu_16m,URECIP16_Q16,recip_u16_u24_q16,65536,66.233795,41,239,
v4_reu_16m,SIN8,sin_u8_s8,256,23.0,23,23,
v4_reu_16m,COS8,cos_u8_s8,256,23.0,23,23,
v4_reu_16m,SINCOS8,sincos_u8_s8_s8,256,31.0,31,31,
v4_reu_16m,ATAN2_8,atan2_s8_s8_u8,65536,48.0,48,48,
v4_reu_16m,ISQRT16,isqrt_u16_u16,65536,54.0,54,54,
v4_reu_16m,ISQRT32,isqrt_u32_u16,4130,1046.6225181598063,899,1237,
v4_reu_16m,DIST8_FAST,dist_s8_s8_u8_fast,65536,79.07003784179688,63,95,
v4_reu_16m,DIST8_ACCURATE,dist_s8_s8_u8_accurate,65536,85.07003784179688,69,101,
v4_reu_16m,VEC2_NORMALIZE_Q8_8,normalize_s16_s16_s16_s16_q8_8_to_q1_15,107396,157.5526835263883,90,298,
